Metric,Hybrid,Random,Difference (Hybrid - Random)
avg_kl_divergence,0.35390117887549144,0.0005653399280445612,0.35333583894744686
avg_js_distance,0.0874257292409716,4.854693129913107e-05,0.08737718230967247
class_ratio_diff,0.43572142857142854,4.999999999999449e-05,0.43567142857142854
pca_variance_diff,0.07116766398366009,0.0142760156214006,0.05689164836225949
auc_diff,0.028936180031587266,0.0002870375274266479,0.02864914250416062
auc_orig,0.9957184228703075,0.9957184228703075,0.0
auc_red,0.9667822428387203,0.9954313853428809,-0.02864914250416062
pr_auc_diff,0.011939820439451299,8.831546350607233e-05,0.011851504975945226
pr_auc_orig,0.9983591255650326,0.9983591255650326,0.0
pr_auc_red,0.9864193051255813,0.9982708101015266,-0.011851504975945337
anomaly_auc_diff,-0.4884018755205514,0.006262581716473731,-0.4946644572370251
anomaly_auc_orig,0.10121191453791396,0.10121191453791396,0.0
anomaly_auc_red,0.5896137900584654,0.09494933282144023,0.4946644572370251
